lang,ENGLISH,RUSSIAN,ITALIAN
,"IF YA HOPED WITH ALL YOUR HEART, €€€€€€YOUR WISH WOULD COME TRUE!","ЕФЛИ ВЕРИТЬ ФСЕМ ФЕРТФЕМ, €€€€€€ЖЕЛАНИЕ ЖБУДЕТФЯ!","E CREDENDO CON TUTTO IL CUORE, €€€€€€IL DESIDERIO FI FAREBBE AVVERATO!"
,BUT NOW... €€€€€€ONLY TAKE FORM OF €€€€€€DIM €€€€€€CEILING DECORATIONTH...,НО ФЕЙТФЯС... €€€€€€ОНИ ЛИФЬ €€€€€€ТУФКЛЫЕ €€€€€€ДЕКОРАТФИИ НА ПОТОЛКЕ...,MA ORMAI... €€€€€€LE UNICHE FTELLE RIMAFTE FONO QUELLE FUL MIO FOFFITTO...
,,,
8_3,YOU MEAN THAT TOWERING BLACK GOOP?,ВЫ ПРО ТУ ВОЗВЫФАЮЩУЮФЯ ТФЁРНУЮ ЖЫЖУ?,INTENDI QUELLA TORRE DI MELMA NERA?
,THE THING THAT EGGHEAD DINGA-WING THPRINTED OVER 'ERE FOR??,КОТОРУЮ ЭТОТ ЯЙТФЕГОЛОВЫЙ ДИНЬГА-ВИНЬГ ПОФТАВИЛ ТУТА??,CIÒ PER CUI QUELLA TESTA D'UOVO È VENUTA FIN QUA?
,OUR HOME €€€€€€COMPLETELEY DETHIMATED FOR RICH-MONEYTH TO MOVE IN €€€€€€AND THEE WHAT ALL THE HUBBLE-BUBBLE WATH ABOUT???,"НАФ ДОМ €€€€€€ПОЛТОФТЬЮ РАВРУФИЛИ ВЬЕХАВФИЕ БОГАТФИ, €€€€€€И ВИДИТИ ФТО ЭТО ЖА БРЫЖА-СМЫЖА???",LA COFA PER CUI LA NOFTRA CAFA È FTATA DETURPATA E LAFFATA NELLE GRINFIE DI QUEI RICCONI FNOB?
,...,...,...
,* one could say we're not quite fond of it.,"* можно сказать, нас это не совсем устраивает.","* per farla breve, €€€€€€non ci piace molto."
,,,
8_4,YOU'RE GUNNA HAVE TA BE MORE THPETHPI-,ВАМ НАДО ИЗЛАГАТФА ЧУТФЬ БОЛЕЕ ФПЕТФИФТ...,CERCA DI EFFERE PIÙ FPECIFI-
,THPEF- €€€€€€£THEPIPIPTTHHPHPTH-,ФПЕФ... €€€€€€£ФПЕПФПФТПФФТПТФПФТП...,FPECIF- €€€€€€£FPEFICIFIFIFIFICI-
,MMM...,МММ...,MMM...
,SPECIFIC!,СПЕЦИФИЧЕСКИ!,SPECIFICO!
,"IF BY€€€€€€ ¤HERE¤€€€€€€ YOU MEAN OUR HUMBLE ABODE,","ЕФЛИ ПОД€€€€€€ ¤ВДЕФЬ¤€€€€€€ ВЫ ИМЕИТИ В ВИДУ НАФЕ ФКРОМНОЕ ЖЫЛИФЕ,","FE CON€€€€€€ ¤QUI¤€€€€€€ INTENDI LA NOFTRA UMILE DIMORA,"
,WE'VE BEEN COLLECTING ANY JUNK WE COULD FIND €€€€€€TO FILL THITH PLATHE UP FOR AS LONG AS WE CAN REMEMBUH.,"МЫ ФОБИРАЛИ ВЕФЬ ХЛАМ, КОТОРЫЙ МОГЛИ НАЙТИ €€€€€€ТАК ДОЛГО, НАФКОЛЬКО ПОМНИМ, ФТОБЫ НАПОЛНИТЬ ЭТО МЕФТО.","DA FIN QUANDO ABBIAMO MEMORIA, €€€€€€COLLEFFIONIAMO OGNI TIPO DI CIANFRUFAGLIA PER RIEMPIRE QUEFTO POFTO!"
,"WHICH€€€€€€ ADMITTEDLY,€€€€€€ AIN'T THAT FAR...","ФТО,€€€€€€ ПО ПРАВДЕ ГОВОРЯ,€€€€€€ НЕ ТАК УВ И ДАВНО...",PERÒ AMMETTO DI NON RICORDARE MOLTO...
,"IF BY€€€€€€ ¤HERE¤€€€€€€ YOU MEAN... EVERYWHERE, €€€€€€WELL...","ЕФЛИ ПОД€€€€€€ ¤ВДЕФЬ¤€€€€€€ ВЫ ИМЕИТИ В ВИДУ... ВЕЗДЕ, €€€€€€ФТО В...",FE CON€€€€€€ ¤QUI¤€€€€€€ INTENDI TUTTO CIÒ CHE CI CIRCONDA...
,WE DO RECALL A €€€€€€SIMPLUH TIME €€€€€€WHEN THITH LAND WAS LUSH AND LIVELY.,МЫ ПРИПОМИНАЕМ €€€€€€ВРЕМЯ ПОПРОФЕ €€€€€€КОГДА ЭТИ ВЕМЛИ БЫЛИ ПЫФНЫМИ И ЖЫВЫМИ.,RICORDIAMO UN'EPOCA LONTANA €€€€€€DOVE QUEFTA TERRA ERA FERTILE E RIGOGLIOFA.
,SOCKS LIKE US LIVED IN PEATHE €€€€€€AND-,НОФКИ КАК МЫ ЖЫЛИ В МИРЕ €€€€€€И...,NOI CALFINI VIVEVAMO IN PACE-
,€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€...?,€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€?..,€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€€...?
,AHH... €€€€€€OF COURTHE. €€€€€€WE CAN'T TELL YA YET!,ААА... €€€€€€КОНЕФНА. €€€€€€МЫ ВАМ ПОКА НЕ МОЖЕМ РАФФКАВАТЬ!,AHH GIUFTO... €€€€€€NON POFFIAMO DIRE ALTRO!
,"YOU DON'T WANNA BE TH-POILED FOR OUR €€€€€€_cyPLAY_cw, €€€€€€DO YA?","ВЫ ЖЕ НИ ХАТИТИ ФПОЙЛЕРОВ ДЛЯ НАФЕЙ €€€€€€_cyФТФЕНКИ_cw, €€€€€€ДА?","NON VOLETE MICA DEGLI FPOILER DEL NOFTRO €€€€€€_cyFPETTACOLO_cw, €€€€€€VERO?"
,,,
8_5,"DOOHOHOH! €€€€€€THAT'TH NOT HOW THINGTH WORK AROUND HERE, €€€€€€THILLY!","ВУУХУХУХ! €€€€€€ТУТ ЭТО НЕ ТАК РАБОТАЕТ, €€€€€€ГЛУПЫФКИ!","DOOHOHOH! €€€€€€NON CORRERE TROPPO, €€€€€€FTUPIDINO!"
,NOT WITHOUT A €€€€€€_cyTICKET _cw€€€€€€THAT IS!,НЕ БЕЗ €€€€€€_cyБИЛЕТИКА _cw!,PRIMA DEVI ACQUIFTARE UN €€€€€€_cyBIGLIETTO_cw!
,,,
8_6,AHA!!! €€€€€€£WE THEE YOUR READY FOR A SHOW!,"АГА!!! €€€€€€£ВИДИМ, ВЫ ГОТОВЫ К ФОУ!",AHA!!! €€€€€€£VEDIAMO CHE ORA FIAMO PRONTI PER LO SHOW!
,WE HOPE YOU BOUGHT THOME THNACKS!,"НАДЕЕМФЯ, ВЫ ПРИНЕФЛИ ТФЕВО ПОКУФАТЬ!",SPERIAMO CHE ABBIATE QUALCOFA DA FGRANOCCHIARE!
,PLACETH €€€€€€EVERYBUDDY!!!,ВФЕ €€€€€€ПО МЕФТАМ!!!,TUTTI AI PROPRI POFTI!!!
,,,
8_7,*AHEM*,*КХЕ*,*AHEM*
,"ONTHE UPON A TIME... €€€€€€£IN THE HUMBLE LAND OF CALCIA, €€€€€€€€€£AN EVEN HUMBLER LINEAGE OF SOCK-DARKNUH MADE THEMTHELVETH AT HOME.","ДАВНЫМ-ДАВНО... €€€€€€£В ФКРОМНЫХ ЗЕМЛЯХ КАЛЬЦИИ, €€€€€€€€€£ФКРОМНЕЙФИЙ РОД НОФКОВ-ТЁМНЫТФЕЙ ТЬФЮФТВОВАЛИ ФЕБЯ КАК ДОМА.","TANTO TEMPO FA... €€€€€€£NELL'UMILE TERRA DI CALCIA, €€€€€€£VIVEVA UN POPOLO ANCORA PIÙ £UMILE DI CALFE OFCURIANE."
,"FOR GENERATIONTH THEY WANDERED, €€€€€€GATHERED, €€€€€€AND TOLD STORIETH OF THEIR TRAVELTH.","ПОКОЛЕНИЯМИ ОНИ ПУТЕФЕФТВОВАЛИ, €€€€€€ПОЗНАВАЛИ, €€€€€€И РАФФКАЗЫВАЛИ ИФТОРИИ О ФВОИХ ФТРАНФТВИЯХ.",PER GENERAFFIONI HANNO GIRATO PER IL MONDO RACCONTANDO DEI LORO VIAGGI.
,BUT MOTHT OF ALL... €€€€€€£THEY GAZED AT THE STARS!,НО ФАМОЕ ГЛАВНОЕ... €€€€€€£ОНИ ГЛЯДЕЛИ НА ЗВЁЗДЫ!,MA FOPRATTUTTO... €€€€€€£ADORAVANO LE FTELLE!
,"WHEN THEY GOT LOST, €€€€€€THE STARS WERE THERE TO SHOW THE WAY! ","КОГДА ОНИ ТЕРЯЛИФЬ, €€€€€€ЗВЁЗДЫ ВФЕГДА УКАЗЫВАЛИ ПУТЬ!","FE FI PERDEVANO, €€€€€€LE FTELLE AVREBBERO MOFTRATO LORO LA VIA!"
,"WHEN THEY GOT BORED, €€€€€€THE STARS WERE THEIR INTHPIRATION!","КОГДА ОНИ ФКУТФЯЛИ, €€€€€€ЗВЁЗДЫ ИХ ВДОХНОВЛЯЛИ!","FE FI FENTIVANO VUOTI, €€€€€€LE FTELLE FUNGEVANO COME PUNTO DI IFPIRAZIONE!"
,IT WAS €€€€€€THEIR WAY OF LIFE!,ЭТО БЫЛ €€€€€€ИХ ОБРАЗ ЖЫЗНИ!,ERA €€€€€€IL LORO FTILE DI VITA!
,THO IMAGINE THEIR SURPRITHE€€€€€€€€€ WHEN THOME TINY MAN SHOWTH UP WITH HIS BIG MACHINE!!,ТАК ПРЕДФТАВЬТЕ ИХ ИЖУМЛЕНЬЕ€€€€€€€€€ КОГДА ЭТОТ МЕЛКИЙ МУВЫК ПРИФЁЛ ФО ФВОЕЙ ВДОРОВЕННОЙ МАФЫНОЙ!!,QUINDI IMMAGINATE LA LORO REAFFIONE€€€€€€€€€ QUANDO UN PICCOLO GNOMO ARRIVÒ A BORDO DEI FUOI MACCHINARI!!
,HIS NAME €€€€€€WAS THOMETHING LIKE... €€€€€€DINGWINGTH?,ЖВАЛИ ЕВО €€€€€€КАК-ТО ТАМ... €€€€€€ДИНГВИНГФ?,CREDIAMO CHE IL FUO NOME €€€€€€FOFFE QUALCOFA COME... €€€€€€DINGWINGF?
,"¤I, €€€€€€WINGNUT OR WHATEVUH, €€€€€€€€€DECLARE THITH LAND MY HOME! €€€€€€€€€€AND IT'TH PEOPLE €€€€€€MY PROPERTY !!!¤","¤Я, €€€€€€ВИНЬГБРЯК ИЛИ КАК ТАМ МЕНЯ, €€€€€€€€€ОБЪИВЛЯЮ ЭТИ ЗЕМЛИ МАИМ ДОМАМ! €€€€€€€€€€И ИВО НАРОД €€€€€€МАЕЙ ФОБФТВЕННОФТЬЮ!!!¤","¤IO, €€€€€€WINGDINGF O COME VOLETE VOI, €€€€€€DICHIARO QUEFTA TERRA E I FUOI ABITANTI MIA PROPRIETÀ!!!¤"
,"FROM THE FOUNTAIN OUTWARDTH, €€€€€€£HIS TROOPTH€€€€€€ CONSTRUCTED,","ОТ ВХОДА К ФОНТАНУ, €€€€€€£ЕГО ОТРЯДЫ€€€€€€ ВЫФТРОИЛИФЬ,",DALLA FONTANA INIFFIÒ A ERGERE IL FUO NUOVO IMPERO.
,"AUTOMATED, €€€€€€EXPLORED €€€€€€AND EXPLOITED...","ЗАГНАННЫЕ, €€€€€€ИВУТФЯЕМЫЕ €€€€€€И ЭКФПЛУАТИРУЕМЫЕ...","PIEGATE, €€€€€€UFATE €€€€€€E FFRUTTATE..."
,THE SOCKS WERE COMPLETELY OVAHWHELMED!,НОФКИ БЫЛИ КРАЙНЕ ОФЕЛОМЛЕНЫ!,LE CALFE ERANO COMPLETAMENTE FOPRAFFATTE!
,"DRIVEN OUT OF THEIR HOMETH, €€€€€€THEY WERE FORTHED TO COMPLY WITH THEIR NEW RULER €€€€€€AND BE ENLITHTED €€€€€€AS HIS FOOTSOLDIERTH!","ВЫГНАННЫЕ ИЗ ИХ ДОМА, €€€€€€ОНИ БЫЛИ ВЫНУВДЕНЫ ФМИРИТЬФЯ Ф ИХ НОВЫМ ПРАВИТЕЛЕМ €€€€€€И ИХ ЗАВЕРБОВАЛИ €€€€€€В ЕВО ПЕХОТИНТФЫ!","CACCIATE DALLA LORO CAFA, €€€€€€FURONO COFTRETTE A OBBEDIRE AL NUOVO IMPERATORE, €€€€€€PER TRAFFORMARLE IN FUOI FOLDATI!"
,YOU'VE PROBABLY FATHED A FEW ON YA WAY HERE...,"ВЫ, ФКОРЕЕ ВФЕВО, УЖЕ ВФТРЕТИЛИ НЕФКОЛЬКО НА ФВОЁМ ПУТИ...",FORFE NE AVETE GIÀ INCONTRATI ALCUNI...
,"ALL THEEMED HOPELETH, €€€€€€€€€BUT ONE €€€LONE €€€THOLE €€€€€€MANAGED TO THLIP BY UNDETECTED.","ВФЁ КАЗАЛОСЬ БЕВНАДЁВНЫМ, €€€€€€€€€НО €€€ОДИН €€€НОФОТФЕК €€€€€€ФМОГ ПРОФКОЛЬВНУТЬ НЕЗАМЕТФЕННЫМ.","MA QUANDO TUTTO FEMBRAVA FINITO, €€€€€€€€€UNA FOLA €€€CALFA €€€€€€RIUSCÌ A FFUGGIRE."
,BUT WHAT WATH A THINGLE SOCK TO DO? €€€€€€THEPARATED FROM THEIR LOVED ONETH...,НО ФТО ЖЕ ФДЕЛАЕТ ОДИН НОФОК? €€€€€€В ОТРЫВЕ ОТ ФВОИХ БЛИФКИХ...,MA UN CALFINO È PUR FEMPRE INUTILE FE FPAIATO...
,AND WITHOUT A STAR IN THE SKY...,И БЕЗ ЗВЕЗДЫ НА НЕБЕ...,E FENZA FTELLE NEL CIELO...
,THEY WERE TERRIFIED...,ОН БЫЛ В УВАФЕ...,ERA TERRORIZZATO...
,UNTIL...,ПОКА...,FINO A QUANDO...
,"THOMEONE VERY WONDUHFUL, €€€€€€€€€APEARED.",КТО-ТО ОТФЕНЬ ЗАМЕТФЯТЕЛЬНЫЙ €€€€€€€€€НЕ ПОЯВИЛФЯ.,UNA PERFONA VERAMENTE FPECIALE €€€€€€APPARVE.
,THOMEONE WHO KNEW HOW TO HELP,"КТО-ТО, КТО ЗНАЛ, КАК ПОМОТФЬ",UNA PERFONA CHE AVREBBE POTUTO AIUTARLO.
,WHO HAD JUTHT THE THING TO THOLVE ALL PROBLEMTH,"У КОГО БЫЛО ФАМОЕ ТО, ФТОБЫ РЕФИТЬ ВФЕ ПРОБЛЕМЫ",CHE AVEVA LA SOLUFFIONE AD OGNI PROBLEMA.
,"A TICKET, €€€€€€€€€TO FREEDOM...",БИЛЕТ €€€€€€€€€К СВОБОДЕ...,"UN BIGLIETTO, €€€€€€PER LA LIBERTÀ..."
,BUT BEFORE THE SOCK COULD EVEN PARTAKE...,"НО ДО ТОГО, КАК НОФОК ФМОГ ХОТЬ ФТО-ТО ФДЕЛАТЬ...",MA PRIMA ANCORA CHE LA CALFA POTESSE COMPRENDERE...
,OUR HERO WAS ALONE €€€€€€ONTHE AGAIN...,"НАФ ГЕРОЙ ОКАЗАЛФЯ ОДИН, €€€€€€ОПЯТЬ..",IL NOFTRO EROE ERA DI NUOVO TUTTO SOLO...
,"WITH NO MEMORY OF WHAT THEY WERE TOLD, €€€€€€OR WHAT THE THRANGER €€€€€€HAD GIVEN THEM.","ФОВФЕМ БЕЗ ПАМЯТИ О ТОМ, О ТФЁМ ЕМУ РАФФКАЗАЛИ, €€€€€€И О ТОМ, €€€€€€ФТО НЕЗНАКОМЕТФ ДАЛ ЕМУ.","ORMAI PERFO NELL'AMNEFIA, €€€€€€NON RICORDAVA NULLA DELL'INCONTRO CON LO STRANIERO."
,"EMPTY-HANDED, €€€€€€THEY WERE BACK TO WHERE THEY THARTED.","Ф ПУФТЫМИ РУКАМИ, €€€€€€ОН ВЕРНУЛФЯ ТУДА, ГДЕ И НАТФЯЛ.","A MANI VUOTE, €€€€€€RICOMINCIÒ DA CAPO."
,EXCEPT NOW €€€€€€THEY THAW A GLIMMER IN THE DITHTANCE...,"НО ТЕПЕРЬ, €€€€€€ОН ВИДЕЛ ФИЯНИЕ ВДАЛЕКЕ...",ECCETTO CHE ORA €€€€€€VIDE UN BARLUME DI SPERANZA ALL'ORIZZONTE...
,"A LIGHTHOUTHE WAS BUILT ON THE HIGHETHT MOUTAIN, €€€€€€AND THE SOCK LEARNED... €€€€€€€€€THAT'S €€€€€€WHERE THEIR THOLUTION LAY.","НА ФАМОЙ ВЫФОКОЙ ГОРЕ БЫЛ ПОФТРОЕН МАЯК, €€€€€€И НОФОК УЗНАЛ... €€€€€€€€€ВОТ ГДЕ €€€€€€БЫЛО ЕГО РЕФЕНИЕ.","UN FARO FU COFTRUITO FULLA MONTAGNA PIÙ ALTA, €€€€€€E LA CALFA CAPÌ CHE LÌ FI TROVAVA LA FOLUFFIONE."
,"ALATH... €€€€€€THE TREK TO THE TWINKLING TOWER WAS TOO LONG €€€€€€€€€AND THE MOUNTAIN, €€€€€€TOO DANGEROUTH!","К ФОВАЛЕНИЮ... €€€€€€ПУТЬ К ФИЯЮФЕЙ БАФНЕ БЫЛ ФЛИФКОМ ДЛИННЫМ, €€€€€€€€€И ТА ГОРА, €€€€€€ФЛИФКОМ ОПАФНО!","TUTTAVIA... €€€€€€LA FCALATA PER ARRIVARE IN CIMA ERA TROPPO LUNGA, €€€€€€E LA MONTAGNA ERA UNA TRAPPOLA MORTALE!"
,"HERE OUR ¤HERO¤ €€€€€€STARED OFF AT THEIR ONLY STAR LEFT, €€€€€€WISHING THAT HELP WOULD COME. €€€€€€£AND FREE THEM ALL €€€€€€FROM THE MACHINE...","И ВОТ НАФ ¤ГЕРОЙ¤ €€€€€€ФМОТРЕЛ НА ЕДИНФТВЕННУЮ ОФТАВФУЮФЯ ЗВЕЗДУ, €€€€€€ЖЕЛАЯ, ФТОБЫ ПРИФЛА ПОМОФЬ €€€€€€И ОФВОБОДИЛА ИХ ВФЕХ €€€€€€ОТ МАФЫНЫ...","QUI IL NOFTRO ¤EROE¤ €€€€€€FIFFAVA LA FUA UNICA FTELLA, €€€€€€FPERANDO DI LIBERARLI €€€€€€DALLA MACCHIA DEL TERRORE..."
,,,
9_1,YOU €€€€€€WANNA €€€€€€HUH?,"ВЫ €€€€€€ХАТИТИ, €€€€€€ДЭ?",TU €€€€€€VUOI €€€€€€CHE?
,"SORRY, €€€€€€WE'RE AFRAID WE CAN'T AFORD THAT...","ПРАФТИТИ, €€€€€€К ФОВАЛЕНЬЮ МЫ НИ МОЖЕМ ФИБЕ ЭТО ПОЖВОЛИТЬ...","PERDONACI, €€€€€€TEMO CHE NON POFFIAMO PERMETTERCI LE TUE COFE..."
,UNLETH YOU TAKE SPARE BUTTONTH AND LINT!,"РАЗВЕ ФТО, ЕФЛИ ВЫ НЕ ПРИНИМАИТИ ПУГОВКИ И НИТОТФЬКИ!",A MENO CHE TU NON VOGLIA DARCI UN PAIO DI BOTTONI E UN PO' DI LANA!
9_2,BUH-BYE NOW!!!,ПАКА-ПАКА!!!,A PIÙ TARDI!!!
9_3,THANKTH FOR YOUR PATRONAGE!,ФПАФИБО ЗА ФЕДРОФТЬ!,GRAFFIE PER L'ACQUIFTO!
9_4,THALUTATIONTH!,ПРИВЕТФТВУЕМ!,BENTROVATI!
9_5,THTAY FER ATH LONG ATH YA WANT!,"ОФТАВАЙТЕФЬ НАФТОЛЬКО, НАФКОЛЬКО ХАТИТИ!",FATE COME FE FOFTE A CAFA VOFTRA!
9_6,THEE THUMTHIN' YA LIKE!,ПОФМОТРИТЕ СЕБЕ ФТО-НИБУДЬ!,POTREBBE INTEREF-£FARVI£QUALCOFA!
9_7,"DAWW, WHY NOT?","УАА, НУ ПОТФЕМУ НЕТ?","DAII, PERCHÉ NO?"
9_8,YOU'RE BROKE!,У ВАФ ДЕНЯК НЕТ!,FEI AL VERDE!
9_9,ALL UTTA TICKET!,БИЛЕТИКИ КОНТФИЛИФЬ!,BIGLIETTI ESAURITI!
9_10,WE LOVE TALKING!,МЫ ЛЮБИМ БОЛТАТЬ!,AMIAMO PARLARE!
9_11,TALKING IS FUN!,БОЛТАТЬ ВЕФЕЛО!,PARLARE È DIVERTENTE!
,,,
,,,
,,,
10_1,WELL? €€€€€€WADAYA THINK?,НУ? €€€€€€ФТО ДУМАИТИ?,BEH? €€€€€€CHE NE PENFATE?
,"* Jeez, €€€€€€that's a hell of a story...","* Боже, €€€€€€ну и история...","* Cavoli, €€€€€€che storia triste..."
,* I already hated that pompous egghead.,* Я и так ненавидела это напыщенное яйцо.,* Odiavo già a morte quella testa d'uovo.
,* NOW I REALLY WANNA HARD-BOIL HIS ASS!!!,* НО ТЕПЕРЬ Я ЕГО ЗАД В СМЯТКУ РАЗМАЖУ!!!,* ORA VOGLIO PROPRIO BOLLIRGLI IL CULO!!!
,YER THAYIN' YOU'VE MET HIM?,ТАК ВЫ ЕВО ВТРЕТФЯЛИ?,QUINDI LO CONOSCETE GIÀ?
,* Indeed! €€€€€€Dingwing's sure made himself known.,* Верно! €€€€€€Дингвинг сразу дал о себе знать.,* Esatto! €€€€€€Dingwing è davvero un tipo eccentrico.
,* You weren't lying when you said he's taken over everything.,"* Ты не приувеличил, когда сказал, €€€€€€что он тут все захватил.",* Non mentivi quando dicevi che comanda su tutto...
,* But €€€€€€I think we can help change that!,"* Но я думаю, €€€€€€мы можем это исправить!",* Tuttavia €€€€€€penso che possiamo fare la differenza!
,* ...€€€€€€We can?,* ...€€€€€€Мы можем?,* ...€€€€€€Possiamo?
,* I mean... €€€€€€YEAH! €€€Of course we can!,"* То есть... €€€€€€ДА! Конечно, €€€€€€мы можем!",* Voglio dire... €€€€€€CERTO! Ovviamente possiamo!
,* A lighthouse that size can't be good for a darkworld.,* Такой большой маяк не должен быть в Тёмном мире.,* Un faro così grande non farà del bene a un Mondo Oscuro.
,"* But if we turn it off, €€€€€€@it could save everyone!","* Но если мы его выключим, €€€€€€@это может всех спасти!","* Ma se lo spegnessimo, €€€€€€@potrebbe salvare tutti!"
,* ...€€€Is the lighthouse €€€€€€dangerous?,"* ...€€€Этот маяк, €€€€€€типа, €€€€€€опасен?",* ...€€€Il faro €€€€€€è pericoloso?
,"* Well you see, €€€€€€Darkners shouldn't be exposed to LIGHT.","* Видишь ли, €€€€€€тёмные не должны быть на СВЕТУ.","* Vedi, €€€€€€gli Oscuriani non dovrebbero esporsi alla LUCE."
,* When a fountain clouds the world in darkness-,* Когда фонтан окутывает мир во тьму...,* Non appena una fontana copre il mondo-
,* Us darkeners €€€€€€spring to life!,"* Мы, темные, €€€€€€наполняемся жизнью!",* Dà vita a noi Oscuriani!
,* Lightness €€€€€€however...,"* Однако,€€€€€€ свет...","* La luce, €€€€€€tuttavia..."
,* Disrupts €€€€€€a darkener's physical €€€€€€and mental capabilities.,* Нарушает €€€€€€наши физические и ментальные возможности.,* Frantuma €€€€€€le capacità fisiche e mentali di un Oscuriano.
,"* If exposed to light, €€€€€€a darkener could suffer dizziness, €€€€€€paralysis...","* Под воздействием света, €€€€€€ темные могут испытывать помутнения, €€€€€€паралич...","* Se esposto alla luce, €€€€€€un oscuriano può soffrire molto..."
,AND MEMORY LOSS...,И ПОТЕРЮ ПАМЯТИ...,E ANCHE DI AMNEFIA...
,THAT'S WHY €€€€€€THE SOCKS DON'T REBELL.,"ВОТ, €€€€€€ПОЧЕМУ НОСКИ НЕ ВЗБУНТОВАЛИСЬ.",PER QUESTO €€€€€€LE CALFE NON FI RIBELLANO.
,THEY CAN'T REMEMBER €€€€€€WHO THEY USED TO BE.,"ОНИ НЕ ПОМНЯТ, €€€€€€КЕМ ОНИ БЫЛИ.",NON RIEFCONO A RICORDARE €€€€€€LE LORO ORIGINI.
,AND €€€€€€€€€€€€ME AND £LIL' BUDDY...,И €€€€€€€€€€€€Я С £БРАТИФКОЙ...,NEANCHE €€€€€€IO E £IL MIO AMICHETTO...
,CAN'T €€€€€€€€€REMEMBER WHO WE WERE €€€€€€€EITHER.,"ТОЖЕ €€€€€€€€€НЕ ПОМНИМ, €€€€€€€КЕМ МЫ БЫЛИ.",NON CI €€€€€€€€€€€€RICORDIAMO CHE COFA FACEVAMO.
,"OUR FRIENDS, €€€€€€€€O-€€€€OUR MIND, €€€€OUR LIFE?","НАШИ ДРУЗЬЯ, €€€€€€€€Н-€€€€НАШ РАЗУМ, €€€€НАША ЖИЗНЬ?","I NOFTRI AMICI, €€€€€€I-€€€€€€I NOFTRI PENFIERI, €€€€€€LA NOFTRA VITA?"
,WE CAN'T REMEMBER ANY OF IT.,МЫ НИЧЕГО НЕ МОЖЕМ ВСПОМНИТЬ.,NON RICORDIAMO NULLA.
,ALL BECAUSE OF THE LIGHT...,ВСЁ ИЗ-ЗА СВЕТА...,TUTTO A CAUFA DELLA LUCE...
,WONDER WHAT IT WAS LIKE...,"ИНТЕРЕСНО, КАКОВО ЭТО БЫЛО..",CHIFFÀ COM'ERA UNA VOLTA...
,* Then it sounds like we've got work to do.,"* Похоже, €€€€€€€у нас есть работёнка.",* Beh allora dobbiamo metterci al lavoro.
,"* If that lighthouse is such a problem, €€€€€€we'll SMASH IT TO BITS!","* Если тот маяк такая уж проблема, €€€€€€мы СНЕСЁМ ЕГО К ЧЕРТЯМ!","* Se quel faro è così fastidioso, €€€€€€LO FAREMO A PEZZI!"
,* Sounds like a plan.,* Звучит как план.,* Si potrebbe fare.
,"* And, €€€€€€call it a hunch...",* И есть предчувствие...,"* E poi, €€€€€€in teoria..."
,* But if we can release all that energy back into the world-,* Что если мы сможем вернуть эту энергию миру...,* Rilasciando tutta quell'energia nel tuo mondo-
,* You €€€€€€and your people could get your memories back.,* Ты €€€€€€и твой народ смогут вернуть свои воспоминания.,* Tu €€€€€€e i tuoi amici riacquistereste la memoria!
,Y-€€€€YOU REALLY THINK THAT COULD WORK?,"В-€€€€ВЫ ПРАВДА ДУМАИТИ, ЭТО ФРАБОТАЕТ?",P-€€€€€€PENFATE DAVVERO CHE POTREBBE FUNFFIONARE?
,"* It's worth a shot, €€€€€€right?","* Стоит попробовать, €€€€€€верно?","* Tentar non nuoce, €€€€€€giusto?"
,* We'll show that eggface who's REALLY in charge!!!,"* Покажем этому яйцерожему, €€€€€€кто тут ДЕЙСТВИТЕЛЬНО главный!!",* Mostreremo a quella testa d'uovo chi comanda PER DAVVERO!!!
,Y-€€€YEAH! €€€€€€€YEAH!!!,Д-€€€ДА! €€€€€€€ДА!!!,S-€€€€€€SÌ! €€€€€€CERTO!!!
,TOGETHUH €€€€€€WE'LL BRAVE THAT MOUNTAIN €€€€€€AND RETHTORE THE WORLD!!!,ВМЕФТИ €€€€€€МЫ ПАКАРИМ ТУ ГОРУ €€€€€€И ВОФФТАНОВИМ МИР!!!,"INFIEME, €€€€€€FCALEREMO LA MONTAGNA, €€€€€€E FALVEREMO IL MONDO!!!"
,"READY YOURTHELVETH HEROETH, €€€€€€CAUTHE ADVENTUH €€€€€€ITH AFOOT!","ПРИГОТОВЬТЕФЬ, ГЕРОИ, €€€€€€ИБО ПРИКЛЮТФЕНИЕ €€€€€€ВДЁТ!","PREPARATEVI EROI, €€€€€€L'AVVENTURA CI AFPETTA!"
,,,
11_1,"* Well, €€€€€€here we are. €€€€€€£* The bottom of the mountain.","* Ну, €€€€€€вот и оно. €€€€€€£* Подножье горы.","* Beh, €€€€€€eccoci ai piedi della montagna."
,LET THE CLIMBING €€€€€€COMMENCE!,ДА ФВЕРФИТФЯ €€€€€€ВЖБИРАНЬЕ!,CHE LA FCALATA €€€€€€ABBIA INIFFIO!
11_2,GEE... THAT WATH A CLOTHE ONE!,ЁФКИН... ЭТО БЫЛО БЛИФКО!,WOW... C'È MANCATO POCO!
,THANKTH THOOTHIE! WE WERE ALMOTHT PANCAKE'D!,ФПАФИБО ФЬЮВИ! НАФ ПОТФТИ РАВДАВИЛО В БЛИНТФИК!,GRAFFIE FUFIE! MI HAI FALVATO PER UN PELO!
